"P (MPa)","T (°C)","V (m3/kg)","U (kJ/kg)","H (kJ/kg)","S [kJ/(kg K)]","Phase"
0.01,0,0.001,-0.04,-0.03,-0.00015,"liquid"
0.01,5,0.001,21.02,21.03,0.07625,"liquid"
0.01,10,0.001,42.02,42.03,0.1511,"liquid"
0.01,15,0.001001,62.98,62.99,0.2245,"liquid"
0.01,20,0.001002,83.91,83.92,0.2965,"liquid"
0.01,25,0.001003,104.8,104.8,0.3672,"liquid"
0.01,30,0.001004,125.7,125.7,0.4368,"liquid"
0.01,35,0.001006,146.6,146.6,0.5051,"liquid"
0.01,40,0.001008,167.5,167.5,0.5724,"liquid"
0.01,45,0.00101,188.4,188.4,0.6386,"liquid"
0.01,45.81,0.00101,191.8,191.8,0.6492,"saturated liquid"
0.01,45.81,14.67,2437,2584,8.149,"saturated vapor"
0.01,50,14.87,2443,2592,8.174,"vapor"
0.01,55,15.1,2451,2602,8.204,"vapor"
0.01,60,15.34,2458,2611,8.233,"vapor"
0.01,65,15.57,2465,2621,8.261,"vapor"
0.01,70,15.8,2472,2630,8.289,"vapor"
0.01,75,16.03,2479,2640,8.317,"vapor"
0.01,80,16.27,2487,2649,8.344,"vapor"
0.01,85,16.5,2494,2659,8.371,"vapor"
0.01,90,16.73,2501,2668,8.397,"vapor"
0.01,95,16.96,2508,2678,8.423,"vapor"
0.01,100,17.2,2516,2688,8.449,"vapor"
0.01,105,17.43,2523,2697,8.474,"vapor"
0.01,110,17.66,2530,2707,8.499,"vapor"
0.01,115,17.89,2537,2716,8.524,"vapor"
0.01,120,18.12,2544,2726,8.548,"vapor"
0.01,125,18.36,2552,2735,8.573,"vapor"
0.01,130,18.59,2559,2745,8.596,"vapor"
0.01,135,18.82,2566,2754,8.62,"vapor"
0.01,140,19.05,2573,2764,8.643,"vapor"
0.01,145,19.28,2581,2773,8.666,"vapor"
0.01,150,19.51,2588,2783,8.689,"vapor"
0.01,155,19.75,2595,2793,8.712,"vapor"
0.01,160,19.98,2603,2802,8.734,"vapor"
0.01,165,20.21,2610,2812,8.756,"vapor"
0.01,170,20.44,2617,2822,8.778,"vapor"
0.01,175,20.67,2625,2831,8.8,"vapor"
0.01,180,20.9,2632,2841,8.821,"vapor"
0.01,185,21.13,2639,2851,8.842,"vapor"
0.01,190,21.36,2647,2860,8.863,"vapor"
0.01,195,21.59,2654,2870,8.884,"vapor"
0.01,200,21.83,2661,2880,8.905,"vapor"
0.01,210,22.29,2676,2899,8.946,"vapor"
0.01,220,22.75,2691,2919,8.986,"vapor"
0.01,230,23.21,2706,2938,9.025,"vapor"
0.01,240,23.67,2721,2958,9.064,"vapor"
0.01,250,24.14,2736,2977,9.102,"vapor"
0.01,260,24.6,2751,2997,9.139,"vapor"
0.01,270,25.06,2766,3017,9.176,"vapor"
0.01,280,25.52,2782,3037,9.212,"vapor"
0.01,290,25.98,2797,3057,9.248,"vapor"
0.01,300,26.45,2812,3077,9.283,"vapor"
0.01,310,26.91,2828,3097,9.317,"vapor"
0.01,320,27.37,2843,3117,9.352,"vapor"
0.01,330,27.83,2859,3137,9.385,"vapor"
0.01,340,28.29,2874,3157,9.419,"vapor"
0.01,350,28.76,2890,3178,9.451,"vapor"
0.01,360,29.22,2906,3198,9.484,"vapor"
0.01,370,29.68,2922,3218,9.516,"vapor"
0.01,380,30.14,2937,3239,9.547,"vapor"
0.01,390,30.6,2953,3259,9.579,"vapor"
0.01,400,31.06,2969,3280,9.609,"vapor"
0.01,410,31.53,2985,3301,9.64,"vapor"
0.01,420,31.99,3002,3321,9.67,"vapor"
0.01,430,32.45,3018,3342,9.7,"vapor"
0.01,440,32.91,3034,3363,9.729,"vapor"
0.01,450,33.37,3050,3384,9.758,"vapor"
0.01,460,33.83,3067,3405,9.787,"vapor"
0.01,470,34.3,3083,3426,9.816,"vapor"
0.01,480,34.76,3100,3447,9.844,"vapor"
0.01,490,35.22,3116,3468,9.872,"vapor"
0.01,500,35.68,3133,3490,9.9,"vapor"
0.01,520,36.6,3166,3533,9.954,"vapor"
0.01,540,37.53,3200,3576,10.01,"vapor"
0.01,560,38.45,3234,3619,10.06,"vapor"
0.01,580,39.37,3269,3662,10.11,"vapor"
0.01,600,40.3,3303,3706,10.16,"vapor"
0.01,620,41.22,3338,3750,10.21,"vapor"
0.01,640,42.14,3373,3795,10.26,"vapor"
0.01,660,43.07,3409,3840,10.31,"vapor"
0.01,680,43.99,3445,3885,10.36,"vapor"
0.01,700,44.91,3481,3930,10.41,"vapor"
0.01,720,45.83,3517,3976,10.45,"vapor"
0.01,740,46.76,3554,4021,10.5,"vapor"
0.01,760,47.68,3591,4068,10.54,"vapor"
0.01,780,48.6,3628,4114,10.59,"vapor"
0.01,800,49.53,3665,4161,10.63,"vapor"
0.01,820,50.45,3703,4208,10.68,"vapor"
0.01,840,51.37,3741,4255,10.72,"vapor"
0.01,860,52.3,3779,4302,10.76,"vapor"
0.01,880,53.22,3818,4350,10.8,"vapor"
0.01,900,54.14,3857,4398,10.84,"vapor"
0.01,920,55.07,3896,4447,10.88,"vapor"
0.01,940,55.99,3935,4495,10.92,"vapor"
0.01,960,56.91,3975,4544,10.96,"vapor"
0.01,980,57.84,4015,4593,11,"vapor"
0.01,1000,58.76,4055,4643,11.04,"vapor"
0.01,1100,63.37,4260,4894,11.23,"vapor"
0.01,1200,67.99,4471,5151,11.41,"vapor"
0.01,1300,72.6,4687,5413,11.59,"vapor"
0.01,1400,77.22,4909,5681,11.75,"vapor"
0.01,1500,81.83,5136,5954,11.91,"vapor"
0.01,1600,86.45,5367,6231,12.06,"vapor"
0.01,1800,95.68,5840,6797,12.35,"vapor"
0.01,2000,104.9,6328,7377,12.62,"vapor"
0.02,0,0.001,-0.04,-0.02,0.00015,"liquid"
0.02,5,0.001001,21.02,21.04,0.07625,"liquid"
0.02,10,0.001,42.02,42.04,0.1511,"liquid"
0.02,15,0.001001,62.98,63,0.2245,"liquid"
0.02,20,0.001002,83.91,83.93,0.2965,"liquid"
0.02,25,0.001003,104.8,104.8,0.3672,"liquid"
0.02,30,0.001004,125.7,125.8,0.4368,"liquid"
0.02,35,0.001006,146.6,146.7,0.5051,"liquid"
0.02,40,0.001008,167.5,167.5,0.5724,"liquid"
0.02,45,0.00101,188.4,188.4,0.6386,"liquid"
0.02,50,0.001012,209.3,209.4,0.7038,"liquid"
0.02,55,0.001015,230.2,230.3,0.768,"liquid"
0.02,60,0.001017,251.2,251.2,0.8313,"liquid"
0.02,60.06,0.001017,251.4,251.4,0.832,"saturated liquid"
0.02,60.06,7.648,2456,2609,7.907,"saturated vapor"
0.02,65,7.765,2463,2619,7.936,"vapor"
0.02,70,7.883,2471,2628,7.965,"vapor"
0.02,75,8,2478,2638,7.993,"vapor"
0.02,80,8.118,2485,2648,8.02,"vapor"
0.02,85,8.235,2493,2657,8.047,"vapor"
0.02,90,8.352,2500,2667,8.074,"vapor"
0.02,95,8.469,2507,2677,8.1,"vapor"
0.02,100,8.586,2514,2686,8.126,"vapor"
0.02,105,8.702,2522,2696,8.152,"vapor"
0.02,110,8.819,2529,2705,8.177,"vapor"
0.02,115,8.935,2536,2715,8.202,"vapor"
0.02,120,9.052,2544,2725,8.227,"vapor"
0.02,125,9.168,2551,2734,8.251,"vapor"
0.02,130,9.284,2558,2744,8.275,"vapor"
0.02,135,9.4,2565,2754,8.299,"vapor"
0.02,140,9.516,2573,2763,8.322,"vapor"
0.02,145,9.633,2580,2773,8.345,"vapor"
0.02,150,9.749,2587,2782,8.368,"vapor"
0.02,155,9.865,2595,2792,8.391,"vapor"
0.02,160,9.981,2602,2802,8.413,"vapor"
0.02,165,10.1,2609,2811,8.435,"vapor"
0.02,170,10.21,2617,2821,8.457,"vapor"
0.02,175,10.33,2624,2831,8.479,"vapor"
0.02,180,10.44,2631,2840,8.5,"vapor"
0.02,185,10.56,2639,2850,8.522,"vapor"
0.02,190,10.68,2646,2860,8.543,"vapor"
0.02,195,10.79,2654,2869,8.564,"vapor"
0.02,200,10.91,2661,2879,8.584,"vapor"
0.02,210,11.14,2676,2899,8.625,"vapor"
0.02,220,11.37,2691,2918,8.665,"vapor"
0.02,230,11.6,2706,2938,8.704,"vapor"
0.02,240,11.83,2721,2957,8.743,"vapor"
0.02,250,12.06,2736,2977,8.781,"vapor"
0.02,260,12.3,2751,2997,8.819,"vapor"
0.02,270,12.53,2766,3017,8.855,"vapor"
0.02,280,12.76,2781,3037,8.892,"vapor"
0.02,290,12.99,2797,3057,8.927,"vapor"
0.02,300,13.22,2812,3077,8.963,"vapor"
0.02,310,13.45,2827,3097,8.997,"vapor"
0.02,320,13.68,2843,3117,9.031,"vapor"
0.02,330,13.91,2859,3137,9.065,"vapor"
0.02,340,14.14,2874,3157,9.098,"vapor"
0.02,350,14.38,2890,3177,9.131,"vapor"
0.02,360,14.61,2906,3198,9.164,"vapor"
0.02,370,14.84,2921,3218,9.196,"vapor"
0.02,380,15.07,2937,3239,9.227,"vapor"
0.02,390,15.3,2953,3259,9.258,"vapor"
0.02,400,15.53,2969,3280,9.289,"vapor"
0.02,410,15.76,2985,3301,9.32,"vapor"
0.02,420,15.99,3001,3321,9.35,"vapor"
0.02,430,16.22,3018,3342,9.38,"vapor"
0.02,440,16.45,3034,3363,9.409,"vapor"
0.02,450,16.68,3050,3384,9.438,"vapor"
0.02,460,16.92,3067,3405,9.467,"vapor"
0.02,470,17.15,3083,3426,9.496,"vapor"
0.02,480,17.38,3100,3447,9.524,"vapor"
0.02,490,17.61,3116,3468,9.552,"vapor"
0.02,500,17.84,3133,3490,9.58,"vapor"
0.02,520,18.3,3166,3532,9.634,"vapor"
0.02,540,18.76,3200,3575,9.688,"vapor"
0.02,560,19.22,3234,3619,9.741,"vapor"
0.02,580,19.69,3269,3662,9.792,"vapor"
0.02,600,20.15,3303,3706,9.843,"vapor"
0.02,620,20.61,3338,3750,9.893,"vapor"
0.02,640,21.07,3373,3795,9.942,"vapor"
0.02,660,21.53,3409,3840,9.991,"vapor"
0.02,680,21.99,3445,3885,10.04,"vapor"
0.02,700,22.46,3481,3930,10.09,"vapor"
0.02,720,22.92,3517,3975,10.13,"vapor"
0.02,740,23.38,3554,4021,10.18,"vapor"
0.02,760,23.84,3591,4067,10.22,"vapor"
0.02,780,24.3,3628,4114,10.27,"vapor"
0.02,800,24.76,3665,4161,10.31,"vapor"
0.02,820,25.23,3703,4208,10.36,"vapor"
0.02,840,25.69,3741,4255,10.4,"vapor"
0.02,860,26.15,3779,4302,10.44,"vapor"
0.02,880,26.61,3818,4350,10.48,"vapor"
0.02,900,27.07,3857,4398,10.52,"vapor"
0.02,920,27.53,3896,4447,10.56,"vapor"
0.02,940,27.99,3935,4495,10.6,"vapor"
0.02,960,28.46,3975,4544,10.64,"vapor"
0.02,980,28.92,4015,4593,10.68,"vapor"
0.02,1000,29.38,4055,4643,10.72,"vapor"
0.02,1100,31.69,4260,4894,10.91,"vapor"
0.02,1200,33.99,4471,5151,11.09,"vapor"
0.02,1300,36.3,4687,5413,11.27,"vapor"
0.02,1400,38.61,4909,5681,11.43,"vapor"
0.02,1500,40.92,5136,5954,11.59,"vapor"
0.02,1600,43.23,5367,6231,11.74,"vapor"
0.02,1800,47.84,5840,6797,12.03,"vapor"
0.02,2000,52.46,6328,7377,12.3,"vapor"
0.03,0,0.001,-0.04001,-0.01,0.00015,"liquid"
0.03,5,0.001,21.02,21.05,0.07625,"liquid"
0.03,10,0.001,42.02,42.05,0.1518,"liquid"
0.03,15,0.001001,62.98,63.01,0.2245,"liquid"
0.03,20,0.001002,83.91,83.94,0.2965,"liquid"
0.03,25,0.001003,104.8,104.9,0.3672,"liquid"
0.03,30,0.001004,125.7,125.8,0.4368,"liquid"
0.03,35,0.001006,146.6,146.7,0.5051,"liquid"
0.03,40,0.001008,167.5,167.6,0.5724,"liquid"
0.03,45,0.00101,188.4,188.5,0.6386,"liquid"
0.03,50,0.001012,209.3,209.4,0.7038,"liquid"
0.03,55,0.001015,230.2,230.3,0.7682,"liquid"
0.03,60,0.001017,251.2,251.2,0.8313,"liquid"
0.03,65,0.00102,272.1,272.1,0.8937,"liquid"
0.03,69.1,0.001022,289.2,289.3,0.9441,"saturated liquid"
0.03,69.1,5.228,2468,2625,7.768,"saturated vapor"
0.03,70,5.243,2469,2626,7.773,"vapor"
0.03,75,5.322,2477,2636,7.801,"vapor"
0.03,80,5.401,2484,2646,7.829,"vapor"
0.03,85,5.48,2491,2656,7.857,"vapor"
0.03,90,5.558,2499,2666,7.884,"vapor"
0.03,95,5.637,2506,2675,7.91,"vapor"
0.03,100,5.715,2514,2685,7.937,"vapor"
0.03,105,5.793,2521,2695,7.962,"vapor"
0.03,110,5.871,2528,2704,7.988,"vapor"
0.03,115,5.95,2536,2714,8.013,"vapor"
0.03,120,6.027,2543,2724,8.038,"vapor"
0.03,125,6.105,2550,2733,8.062,"vapor"
0.03,130,6.183,2558,2743,8.086,"vapor"
0.03,135,6.261,2565,2753,8.11,"vapor"
0.03,140,6.339,2572,2762,8.133,"vapor"
0.03,145,6.416,2580,2772,8.157,"vapor"
0.03,150,6.494,2587,2782,8.18,"vapor"
0.03,155,6.571,2594,2791,8.202,"vapor"
0.03,160,6.649,2602,2801,8.225,"vapor"
0.03,165,6.726,2609,2811,8.247,"vapor"
0.03,170,6.804,2616,2820,8.269,"vapor"
0.03,175,6.881,2624,2830,8.291,"vapor"
0.03,180,6.958,2631,2840,8.312,"vapor"
0.03,185,7.036,2638,2850,8.334,"vapor"
0.03,190,7.113,2646,2859,8.355,"vapor"
0.03,195,7.191,2653,2869,8.376,"vapor"
0.03,200,7.268,2661,2879,8.396,"vapor"
0.03,210,7.422,2676,2898,8.437,"vapor"
0.03,220,7.577,2690,2918,8.477,"vapor"
0.03,230,7.731,2705,2937,8.517,"vapor"
0.03,240,7.886,2721,2957,8.555,"vapor"
0.03,250,8.04,2736,2977,8.594,"vapor"
0.03,260,8.194,2751,2997,8.631,"vapor"
0.03,270,8.348,2766,3016,8.668,"vapor"
0.03,280,8.503,2781,3036,8.704,"vapor"
0.03,290,8.657,2796,3056,8.74,"vapor"
0.03,300,8.811,2812,3076,8.775,"vapor"
0.03,310,8.965,2827,3096,8.81,"vapor"
0.03,320,9.119,2843,3116,8.844,"vapor"
0.03,330,9.273,2858,3137,8.878,"vapor"
0.03,340,9.427,2874,3157,8.911,"vapor"
0.03,350,9.582,2890,3177,8.944,"vapor"
0.03,360,9.736,2905,3198,8.976,"vapor"
0.03,370,9.89,2921,3218,9.008,"vapor"
0.03,380,10.04,2937,3239,9.04,"vapor"
0.03,390,10.2,2953,3259,9.071,"vapor"
0.03,400,10.35,2969,3280,9.102,"vapor"
0.03,410,10.51,2985,3300,9.133,"vapor"
0.03,420,10.66,3001,3321,9.163,"vapor"
0.03,430,10.81,3017,3342,9.193,"vapor"
0.03,440,10.97,3034,3363,9.222,"vapor"
0.03,450,11.12,3050,3384,9.251,"vapor"
0.03,460,11.28,3066,3405,9.28,"vapor"
0.03,470,11.43,3083,3426,9.309,"vapor"
0.03,480,11.58,3099,3447,9.337,"vapor"
0.03,490,11.74,3116,3468,9.365,"vapor"
0.03,500,11.89,3133,3490,9.393,"vapor"
0.03,520,12.2,3166,3532,9.447,"vapor"
0.03,540,12.51,3200,3575,9.501,"vapor"
0.03,560,12.82,3234,3619,9.553,"vapor"
0.03,580,13.12,3269,3662,9.605,"vapor"
0.03,600,13.43,3303,3706,9.656,"vapor"
0.03,620,13.74,3338,3750,9.706,"vapor"
0.03,640,14.05,3373,3795,9.755,"vapor"
0.03,660,14.35,3409,3840,9.804,"vapor"
0.03,680,14.66,3445,3885,9.851,"vapor"
0.03,700,14.97,3481,3930,9.898,"vapor"
0.03,720,15.28,3517,3975,9.945,"vapor"
0.03,740,15.59,3554,4021,9.991,"vapor"
0.03,760,15.89,3591,4067,10.04,"vapor"
0.03,780,16.2,3628,4114,10.08,"vapor"
0.03,800,16.51,3665,4161,10.12,"vapor"
0.03,820,16.82,3703,4208,10.17,"vapor"
0.03,840,17.12,3741,4255,10.21,"vapor"
0.03,860,17.43,3779,4302,10.25,"vapor"
0.03,880,17.74,3818,4350,10.29,"vapor"
0.03,900,18.05,3857,4398,10.34,"vapor"
0.03,920,18.36,3896,4447,10.38,"vapor"
0.03,940,18.66,3935,4495,10.42,"vapor"
0.03,960,18.97,3975,4544,10.46,"vapor"
0.03,980,19.28,4015,4593,10.5,"vapor"
0.03,1000,19.59,4055,4643,10.54,"vapor"
0.03,1100,21.12,4260,4894,10.73,"vapor"
0.03,1200,22.66,4471,5151,10.91,"vapor"
0.03,1300,24.2,4687,5413,11.08,"vapor"
0.03,1400,25.74,4909,5681,11.24,"vapor"
0.03,1500,27.28,5136,5954,11.4,"vapor"
0.03,1600,28.82,5367,6231,11.55,"vapor"
0.03,1800,31.89,5840,6797,11.84,"vapor"
0.03,2000,34.97,6328,7377,12.11,"vapor"
0.04,0,0.001,-0.04001,0,-0.00015,"liquid"
0.04,5,0.001,21.02,21.06,0.07625,"liquid"
0.04,10,0.001,42.02,42.06,0.1511,"liquid"
0.04,15,0.001001,62.98,63.02,0.2245,"liquid"
0.04,20,0.001002,83.91,83.95,0.2965,"liquid"
0.04,25,0.001003,104.8,104.9,0.3672,"liquid"
0.04,30,0.001004,125.7,125.8,0.4367,"liquid"
0.04,35,0.001006,146.6,146.7,0.5051,"liquid"
0.04,40,0.001008,167.5,167.6,0.5724,"liquid"
0.04,45,0.00101,188.4,188.5,0.6386,"liquid"
0.04,50,0.001012,209.3,209.4,0.7038,"liquid"
0.04,55,0.001015,230.2,230.3,0.768,"liquid"
0.04,60,0.001017,251.2,251.2,0.8313,"liquid"
0.04,65,0.00102,272.1,272.1,0.8936,"liquid"
0.04,70,0.001023,293,293.1,0.9551,"liquid"
0.04,75,0.001026,314,314,1.016,"liquid"
0.04,75.86,0.001026,317.6,317.6,1.026,"saturated liquid"
0.04,75.86,3.993,2476,2636,7.669,"saturated vapor"
0.04,80,4.043,2483,2644,7.693,"vapor"
0.04,85,4.102,2490,2654,7.72,"vapor"
0.04,90,4.162,2498,2664,7.748,"vapor"
0.04,95,4.221,2505,2674,7.775,"vapor"
0.04,100,4.28,2513,2684,7.801,"vapor"
0.04,105,4.339,2520,2694,7.827,"vapor"
0.04,110,4.398,2527,2703,7.853,"vapor"
0.04,115,4.457,2535,2713,7.878,"vapor"
0.04,120,4.515,2542,2723,7.903,"vapor"
0.04,125,4.574,2549,2732,7.927,"vapor"
0.04,130,4.633,2557,2742,7.952,"vapor"
0.04,135,4.691,2564,2752,7.976,"vapor"
0.04,140,4.75,2572,2762,7.999,"vapor"
0.04,145,4.808,2579,2771,8.023,"vapor"
0.04,150,4.866,2586,2781,8.046,"vapor"
0.04,155,4.925,2594,2791,8.068,"vapor"
0.04,160,4.983,2601,2800,8.091,"vapor"
0.04,165,5.041,2608,2810,8.113,"vapor"
0.04,170,5.099,2616,2820,8.135,"vapor"
0.04,175,5.158,2623,2830,8.157,"vapor"
0.04,180,5.216,2631,2839,8.179,"vapor"
0.04,185,5.274,2638,2849,8.2,"vapor"
0.04,190,5.332,2645,2859,8.221,"vapor"
0.04,195,5.39,2653,2869,8.242,"vapor"
0.04,200,5.448,2660,2878,8.263,"vapor"
0.04,210,5.564,2675,2898,8.304,"vapor"
0.04,220,5.68,2690,2917,8.344,"vapor"
0.04,230,5.796,2705,2937,8.383,"vapor"
0.04,240,5.912,2720,2957,8.422,"vapor"
0.04,250,6.028,2735,2977,8.46,"vapor"
0.04,260,6.144,2751,2996,8.498,"vapor"
0.04,270,6.259,2766,3016,8.535,"vapor"
0.04,280,6.375,2781,3036,8.571,"vapor"
0.04,290,6.491,2796,3056,8.607,"vapor"
0.04,300,6.607,2812,3076,8.642,"vapor"
0.04,310,6.722,2827,3096,8.677,"vapor"
0.04,320,6.838,2843,3116,8.711,"vapor"
0.04,330,6.954,2858,3136,8.745,"vapor"
0.04,340,7.069,2874,3157,8.778,"vapor"
0.04,350,7.185,2890,3177,8.811,"vapor"
0.04,360,7.301,2905,3197,8.843,"vapor"
0.04,370,7.416,2921,3218,8.875,"vapor"
0.04,380,7.532,2937,3238,8.907,"vapor"
0.04,390,7.647,2953,3259,8.938,"vapor"
0.04,400,7.763,2969,3280,8.969,"vapor"
0.04,410,7.878,2985,3300,9,"vapor"
0.04,420,7.994,3001,3321,9.03,"vapor"
0.04,430,8.109,3017,3342,9.06,"vapor"
0.04,440,8.225,3034,3363,9.089,"vapor"
0.04,450,8.34,3050,3384,9.118,"vapor"
0.04,460,8.456,3066,3405,9.147,"vapor"
0.04,470,8.571,3083,3426,9.176,"vapor"
0.04,480,8.687,3099,3447,9.204,"vapor"
0.04,490,8.802,3116,3468,9.232,"vapor"
0.04,500,8.918,3133,3489,9.26,"vapor"
0.04,520,9.149,3166,3532,9.314,"vapor"
0.04,540,9.38,3200,3575,9.368,"vapor"
0.04,560,9.611,3234,3619,9.421,"vapor"
0.04,580,9.842,3269,3662,9.472,"vapor"
0.04,600,10.07,3303,3706,9.523,"vapor"
0.04,620,10.3,3338,3750,9.573,"vapor"
0.04,640,10.53,3373,3795,9.622,"vapor"
0.04,660,10.77,3409,3839,9.671,"vapor"
0.04,680,11,3445,3884,9.719,"vapor"
0.04,700,11.23,3481,3930,9.766,"vapor"
0.04,720,11.46,3517,3975,9.812,"vapor"
0.04,740,11.69,3554,4021,9.858,"vapor"
0.04,760,11.92,3591,4067,9.903,"vapor"
0.04,780,12.15,3628,4114,9.947,"vapor"
0.04,800,12.38,3665,4161,9.991,"vapor"
0.04,820,12.61,3703,4208,10.04,"vapor"
0.04,840,12.84,3741,4255,10.08,"vapor"
0.04,860,13.07,3779,4302,10.12,"vapor"
0.04,880,13.3,3818,4350,10.16,"vapor"
0.04,900,13.54,3857,4398,10.2,"vapor"
0.04,920,13.77,3896,4447,10.24,"vapor"
0.04,940,14,3935,4495,10.28,"vapor"
0.04,960,14.23,3975,4544,10.32,"vapor"
0.04,980,14.46,4015,4593,10.36,"vapor"
0.04,1000,14.69,4055,4643,10.4,"vapor"
0.04,1100,15.84,4260,4894,10.59,"vapor"
0.04,1200,17,4471,5151,10.77,"vapor"
0.04,1300,18.15,4687,5413,10.95,"vapor"
0.04,1400,19.31,4909,5681,11.11,"vapor"
0.04,1500,20.46,5136,5954,11.27,"vapor"
0.04,1600,21.61,5367,6231,11.42,"vapor"
0.04,1800,23.92,5840,6797,11.71,"vapor"
0.04,2000,26.23,6328,7377,11.98,"vapor"
0.05,0,0.001,-0.04001,0.01,-0.00015,"liquid"
0.05,5,0.001,21.02,21.07,0.07625,"liquid"
0.05,10,0.001,42.02,42.07,0.1511,"liquid"
0.05,15,0.001001,62.98,63.03,0.2245,"liquid"
0.05,20,0.001002,83.91,83.96,0.2965,"liquid"
0.05,25,0.001003,104.8,104.9,0.3672,"liquid"
0.05,30,0.001004,125.7,125.8,0.4367,"liquid"
0.05,35,0.001006,146.6,146.7,0.5051,"liquid"
0.05,40,0.001008,167.5,167.6,0.5724,"liquid"
0.05,45,0.00101,188.4,188.5,0.6386,"liquid"
0.05,50,0.001012,209.3,209.4,0.7038,"liquid"
0.05,55,0.001015,230.2,230.3,0.768,"liquid"
0.05,60,0.001017,251.2,251.2,0.8313,"liquid"
0.05,65,0.00102,272.1,272.1,0.8936,"liquid"
0.05,70,0.001023,293,293.1,0.9551,"liquid"
0.05,75,0.001026,314,314,1.016,"liquid"
0.05,80,0.001029,335,335,1.076,"liquid"
0.05,81.32,0.00103,340.5,340.5,1.091,"saturated liquid"
0.05,81.32,3.24,2483,2645,7.593,"saturated vapor"
0.05,85,3.275,2489,2653,7.614,"vapor"
0.05,90,3.323,2496,2663,7.642,"vapor"
0.05,95,3.371,2504,2673,7.669,"vapor"
0.05,100,3.419,2511,2682,7.695,"vapor"
0.05,105,3.466,2519,2692,7.722,"vapor"
0.05,110,3.514,2526,2702,7.747,"vapor"
0.05,115,3.561,2534,2712,7.773,"vapor"
0.05,120,3.608,2541,2722,7.798,"vapor"
0.05,125,3.655,2549,2732,7.823,"vapor"
0.05,130,3.702,2556,2741,7.847,"vapor"
0.05,135,3.749,2564,2751,7.871,"vapor"
0.05,140,3.796,2571,2761,7.895,"vapor"
0.05,145,3.843,2578,2771,7.918,"vapor"
0.05,150,3.89,2586,2780,7.941,"vapor"
0.05,155,3.937,2593,2790,7.964,"vapor"
0.05,160,3.983,2601,2800,7.987,"vapor"
0.05,165,4.03,2608,2809,8.009,"vapor"
0.05,170,4.077,2615,2819,8.031,"vapor"
0.05,175,4.123,2623,2829,8.053,"vapor"
0.05,180,4.17,2630,2839,8.075,"vapor"
0.05,185,4.217,2638,2848,8.096,"vapor"
0.05,190,4.263,2645,2858,8.117,"vapor"
0.05,195,4.31,2653,2868,8.138,"vapor"
0.05,200,4.356,2660,2878,8.159,"vapor"
0.05,210,4.449,2675,2897,8.2,"vapor"
0.05,220,4.542,2690,2917,8.24,"vapor"
0.05,230,4.635,2705,2937,8.28,"vapor"
0.05,240,4.728,2720,2956,8.319,"vapor"
0.05,250,4.821,2735,2976,8.357,"vapor"
0.05,260,4.913,2750,2996,8.394,"vapor"
0.05,270,5.006,2765,3016,8.431,"vapor"
0.05,280,5.099,2781,3036,8.468,"vapor"
0.05,290,5.191,2796,3056,8.503,"vapor"
0.05,300,5.284,2812,3076,8.539,"vapor"
0.05,310,5.377,2827,3096,8.573,"vapor"
0.05,320,5.469,2843,3116,8.608,"vapor"
0.05,330,5.562,2858,3136,8.641,"vapor"
0.05,340,5.654,2874,3157,8.675,"vapor"
0.05,350,5.747,2889,3177,8.708,"vapor"
0.05,360,5.839,2905,3197,8.74,"vapor"
0.05,370,5.932,2921,3218,8.772,"vapor"
0.05,380,6.024,2937,3238,8.804,"vapor"
0.05,390,6.117,2953,3259,8.835,"vapor"
0.05,400,6.209,2969,3279,8.866,"vapor"
0.05,410,6.302,2985,3300,8.896,"vapor"
0.05,420,6.394,3001,3321,8.927,"vapor"
0.05,430,6.487,3017,3342,8.956,"vapor"
0.05,440,6.579,3034,3363,8.986,"vapor"
0.05,450,6.672,3050,3384,9.015,"vapor"
0.05,460,6.764,3066,3405,9.044,"vapor"
0.05,470,6.857,3083,3426,9.073,"vapor"
0.05,480,6.949,3099,3447,9.101,"vapor"
0.05,490,7.041,3116,3468,9.129,"vapor"
0.05,500,7.134,3133,3489,9.157,"vapor"
0.05,520,7.319,3166,3532,9.211,"vapor"
0.05,540,7.503,3200,3575,9.265,"vapor"
0.05,560,7.688,3234,3619,9.318,"vapor"
0.05,580,7.873,3268,3662,9.369,"vapor"
0.05,600,8.058,3303,3706,9.42,"vapor"
0.05,620,8.242,3338,3750,9.47,"vapor"
0.05,640,8.427,3373,3795,9.519,"vapor"
0.05,660,8.612,3409,3839,9.568,"vapor"
0.05,680,8.797,3445,3884,9.616,"vapor"
0.05,700,8.981,3481,3930,9.663,"vapor"
0.05,720,9.166,3517,3975,9.709,"vapor"
0.05,740,9.351,3554,4021,9.755,"vapor"
0.05,760,9.535,3591,4067,9.8,"vapor"
0.05,780,9.72,3628,4114,9.844,"vapor"
0.05,800,9.905,3665,4160,9.888,"vapor"
0.05,820,10.09,3703,4207,9.932,"vapor"
0.05,840,10.27,3741,4255,9.975,"vapor"
0.05,860,10.46,3779,4302,10.02,"vapor"
0.05,880,10.64,3818,4350,10.06,"vapor"
0.05,900,10.83,3857,4398,10.1,"vapor"
0.05,920,11.01,3896,4447,10.14,"vapor"
0.05,940,11.2,3935,4495,10.18,"vapor"
0.05,960,11.38,3975,4544,10.22,"vapor"
0.05,980,11.57,4015,4593,10.26,"vapor"
0.05,1000,11.75,4055,4643,10.3,"vapor"
